season,name,team,position,usg_1st_down,usg_2nd_down,usg_3rd_down,usg_standard_downs,usg_passing_downs,usg_overall
2022,Mike Wright,Vanderbilt,QB,0.2099,0.208,0.282,0.189,0.275,0.2248
2022,Jahmyr Gibbs,Alabama,RB,0.2904,0.216,0.091,0.176,0.156,0.2241
2022,Kaidon Salter,Liberty,QB,0.2058,0.214,0.26,0.185,0.271,0.2227
2022,Will Howard,Kansas State,QB,0.1811,0.212,0.324,0.192,0.319,0.2221
2022,Daba Fofana,Navy,FB,0.2439,0.246,0.159,0.279,0.133,0.2181
2022,Chandler Fields,Louisiana,QB,0.1818,0.233,0.267,0.198,0.281,0.2175
2022,Jalen Berger,Michigan State,RB,0.2773,0.195,0.121,0.225,0.144,0.2169
2022,Gino Campiotti,UMass,QB,0.1655,0.192,0.314,0.253,0.251,0.216
2022,Kairee Robinson,San José State,RB,0.2201,0.263,0.127,0.27,0.171,0.2144
2022,Pat Garwo III,Boston College,RB,0.2667,0.223,0.114,0.267,0.117,0.2127
2022,Brett Gabbert,Miami (OH),QB,0.2167,0.203,0.218,0.206,0.213,0.2125
2022,Damien Martinez,Oregon State,RB,0.2072,0.23,0.207,0.285,0.152,0.2124
2022,Conner Weigman,Texas A&M,QB,0.1552,0.241,0.27,0.181,0.302,0.2114
2022,Evan Simon,Rutgers,QB,0.1585,0.207,0.308,0.138,0.323,0.2109
2022,Frank Peasant,Middle Tennessee,RB,0.238,0.222,0.143,0.276,0.135,0.2094
2022,Shadrick Byrd,Charlotte,RB,0.2054,0.196,0.236,0.199,0.23,0.2093
2022,Kaytron Allen,Penn State,RB,0.2682,0.181,0.133,0.199,0.138,0.2087
2022,Malik Jackson,Louisiana Monroe,RB,0.224,0.249,0.138,0.277,0.151,0.2085
2022,Jermaine Brown Jr.,UAB,RB,0.23,0.223,0.157,0.259,0.142,0.2079
2022,Shane Illingworth,Nevada,QB,0.1677,0.214,0.276,0.151,0.281,0.207
2022,Gavin Wimsatt,Rutgers,QB,0.1549,0.207,0.301,0.138,0.319,0.2065
2022,Ellis Merriweather,UMass,RB,0.2414,0.188,0.169,0.224,0.15,0.2036
2022,Logan Diggs,Notre Dame,RB,0.2145,0.23,0.146,0.252,0.113,0.203
2022,Gavin Frakes,New Mexico State,QB,0.146,0.211,0.301,0.181,0.281,0.2023
2022,Montrell Johnson,Florida,RB,0.212,0.211,0.157,0.282,0.148,0.2013
2022,Percy Agyei-Obese,James Madison,RB,0.2219,0.232,0.12,0.275,0.116,0.201
2022,Kaleb Johnson,Iowa,RB,0.2685,0.238,0.036,0.292,0.066,0.1992
2022,Isaiah Bowser,UCF,RB,0.2437,0.17,0.139,0.246,0.082,0.1989
2022,Jalen White,Georgia Southern,RB,0.2231,0.193,0.152,0.247,0.118,0.1983
2022,Behren Morton,Texas Tech,QB,0.1949,0.201,0.197,0.149,0.242,0.1982
2022,Kenny McIntosh,Georgia,RB,0.2308,0.174,0.165,0.21,0.143,0.198
2022,Nicholas Singleton,Penn State,RB,0.2478,0.173,0.113,0.236,0.091,0.1972
2022,CJ Beasley,Coastal Carolina,RB,0.2094,0.237,0.111,0.257,0.132,0.1967
2022,Tucker Gregg,Georgia State,RB,0.2058,0.218,0.145,0.308,0.109,0.1962
2022,Charles McClelland,Cincinnati,RB,0.231,0.206,0.127,0.212,0.141,0.196
2022,Nakia Watson,Washington State,RB,0.1927,0.186,0.214,0.26,0.157,0.194
2022,Jordan Houston,NC State,RB,0.2098,0.21,0.133,0.181,0.18,0.1933
2022,Austin Smith,Eastern Michigan,QB,0.1551,0.186,0.283,0.152,0.276,0.1929
2022,Shaun Shivers,Indiana,RB,0.2098,0.205,0.13,0.238,0.141,0.1924
2022,Trey Benson,Florida State,RB,0.2381,0.17,0.124,0.194,0.113,0.1898
2022,Travis Dye,USC,RB,0.219,0.171,0.143,0.241,0.092,0.1888
